AGENTS,ACTIONS,VALUES,ARGUMENTS,RANDOM AVERAGE LENGTH,RANDOM SUCCESS,RANDOM COVINCE,RANDOM RANK
2,2,2,2,3.9927273,0.55,0.7581818,0.59774435
2,2,2,4,5.061776,0.518,0.6583012,0.8121469
2,2,2,6,6.698901,0.455,0.556044,0.8601485
2,2,2,8,8.374101,0.417,0.51318944,0.9137931
2,4,2,2,3.403537,0.622,0.8954984,0.61153847
2,4,2,4,3.6061046,0.688,0.809593,0.769084
2,4,2,6,3.7867951,0.727,0.74965614,0.8557692
2,4,2,8,4.205056,0.712,0.70365167,0.8613744
2,4,2,10,4.6479883,0.696,0.63793105,0.9097222
2,4,2,12,5.1847506,0.682,0.6217009,0.9253876
2,4,2,14,6.091473,0.645,0.60930234,0.9424603
2,4,2,16,6.586039,0.616,0.5487013,0.95683455
2,6,2,2,3.217929,0.647,0.9289026,0.66847825
2,6,2,4,3.1805196,0.77,0.8883117,0.752907
2,6,2,6,3.2415094,0.795,0.7987421,0.840625
2,6,2,8,3.7109678,0.775,0.7858065,0.8629518
2,6,2,10,3.8950696,0.791,0.7345133,0.89880955
2,6,2,12,4.1884613,0.78,0.701282,0.917382
2,6,2,14,4.5791554,0.758,0.68469656,0.9299163
2,6,2,16,4.7434897,0.768,0.65494794,0.9462264
2,6,2,18,5.2832446,0.752,0.6263298,0.9466192
2,6,2,20,4.8971725,0.778,0.63239074,0.95891607
2,6,2,22,5.484564,0.745,0.5744966,0.966877
2,6,2,24,6.4674063,0.721,0.5533981,0.9619565
2,8,2,2,3.025825,0.697,0.96700144,0.6413044
2,8,2,4,3.0822623,0.778,0.90231365,0.77960527
2,8,2,6,3.1664596,0.805,0.87950313,0.8170103
2,8,2,8,3.3349457,0.827,0.8113664,0.8557692
2,8,2,10,3.5900846,0.827,0.8004837,0.8818182
2,8,2,12,3.7340553,0.831,0.74608904,0.9170616
2,8,2,14,3.9515152,0.825,0.74545455,0.9202381
2,8,2,16,4.182482,0.822,0.69829684,0.9385081
2,8,2,18,4.2524157,0.828,0.6727053,0.94926196
2,8,2,20,4.3035293,0.85,0.65294117,0.9542373
2,8,2,22,4.4662724,0.845,0.6106509,0.9680851
2,8,2,24,4.5455623,0.845,0.63431954,0.9644013
2,8,2,26,5.1116567,0.815,0.5840491,0.9756637
2,8,2,28,5.457317,0.82,0.56585366,0.9761236
2,8,2,30,5.592411,0.817,0.6119951,0.98501575
2,8,2,32,5.6942754,0.821,0.5749087,0.9777937
2,10,2,2,3.042522,0.682,0.95894426,0.625
2,10,2,4,2.9924717,0.797,0.91844416,0.7653846
2,10,2,6,3.1767614,0.809,0.8652658,0.8142202
2,10,2,8,3.4167695,0.811,0.85080147,0.8698347
2,10,2,10,3.453125,0.832,0.7920673,0.8930636
2,10,2,12,3.7269418,0.824,0.79126215,0.934593
2,10,2,14,3.8653846,0.832,0.7644231,0.93367344
2,10,2,16,3.8704784,0.857,0.747958,0.9375
2,10,2,18,4.003513,0.854,0.6861827,0.94402987
2,10,2,20,4.19578,0.853,0.68815947,0.94736844
2,10,2,22,4.192757,0.856,0.6635514,0.9583333
2,10,2,24,4.2566476,0.865,0.63699424,0.95461786
2,10,2,26,4.6053553,0.859,0.6600698,0.97773975
2,10,2,28,4.865116,0.86,0.627907,0.9734375
2,10,2,30,4.9187937,0.862,0.63805103,0.9727564
2,10,2,32,5.1913147,0.852,0.6373239,0.97977346
2,10,2,34,5.247685,0.864,0.5868056,0.97899157
2,10,2,36,5.6666665,0.849,0.5606596,0.9819035
2,10,2,38,5.7228775,0.848,0.5589623,0.9852941
2,10,2,40,5.6254416,0.849,0.5500589,0.9888743
2,2,4,2,3.9694245,0.556,0.73741007,0.3458904
2,2,4,4,4.5094337,0.583,0.6586621,0.53957283
2,2,4,6,5.543438,0.541,0.6025878,0.6755814
2,2,4,8,6.860511,0.509,0.5795678,0.7494159
2,2,4,10,8.335541,0.453,0.50551873,0.8264509
2,2,4,12,10.328704,0.432,0.5023148,0.875
2,2,4,14,11.051643,0.426,0.3967136,0.91342413
2,2,4,16,14.294765,0.363,0.4214876,0.9279762
2,4,4,2,3.3328197,0.649,0.8998459,0.35576922
2,4,4,4,3.5111732,0.716,0.8142458,0.5451128
2,4,4,6,3.8379502,0.722,0.7770083,0.6265528
2,4,4,8,4.325811,0.709,0.7207334,0.72727275
2,4,4,10,4.9073243,0.669,0.62032884,0.7982283
2,4,4,12,5.254086,0.673,0.6701337,0.8468468
2,4,4,14,5.5863094,0.672,0.62946427,0.85742974
2,4,4,16,6.3890624,0.64,0.64375,0.8969298
2,4,4,18,7.6296296,0.621,0.5942029,0.9092262
2,4,4,20,8.307047,0.596,0.5922819,0.9259259
2,4,4,22,8.590382,0.603,0.5771144,0.9338235
2,4,4,24,8.988468,0.607,0.56507415,0.94507575
2,4,4,26,9.537288,0.59,0.54745764,0.9466292
2,4,4,28,11.674033,0.543,0.5101289,0.9548872
2,4,4,30,11.595366,0.561,0.5329768,0.95562977
2,4,4,32,12.070271,0.555,0.51711714,0.9580224
2,6,4,2,3.2390318,0.661,0.9379728,0.3292683
2,6,4,4,3.5104895,0.715,0.8797203,0.50581396
2,6,4,6,3.608401,0.738,0.8089431,0.6037234
2,6,4,8,4.0736113,0.72,0.8208333,0.71608526
2,6,4,10,4.737374,0.693,0.74747473,0.76428574
2,6,4,12,4.691341,0.716,0.7276536,0.8230769
2,6,4,14,5.2,0.685,0.7167883,0.8453608
2,6,4,16,5.738439,0.692,0.67919075,0.857545
2,6,4,18,6.1991215,0.683,0.6852123,0.9087209
2,6,4,20,6.019663,0.712,0.64606744,0.9112103
2,6,4,22,6.952872,0.679,0.66421205,0.92105263
2,6,4,24,6.7553344,0.703,0.59317213,0.9248252
2,6,4,26,7.450893,0.672,0.6130952,0.93173075
2,6,4,28,7.8926473,0.68,0.6220588,0.9533074
2,6,4,30,7.5359197,0.696,0.57471263,0.9497466
2,6,4,32,7.8567295,0.691,0.58176553,0.95371974
2,6,4,34,8.712428,0.692,0.58092487,0.95818967
2,6,4,36,8.628866,0.679,0.562592,0.9650673
2,6,4,38,8.932847,0.685,0.540146,0.96309525
2,6,4,40,10.07994,0.663,0.5294118,0.96834934
2,6,4,42,9.9122305,0.695,0.5568345,0.9711851
2,6,4,44,10.014642,0.683,0.5490483,0.9744318
2,6,4,46,11.770769,0.65,0.53692305,0.97425246
2,6,4,48,11.735878,0.655,0.529771,0.97646105
2,8,4,2,3.0870826,0.689,0.94920176,0.32857144
2,8,4,4,3.196311,0.759,0.89064556,0.5
2,8,4,6,3.577181,0.745,0.8550336,0.6446759
2,8,4,8,4.1056337,0.71,0.82535213,0.6935484
2,8,4,10,4.1795917,0.735,0.8353742,0.7623967
2,8,4,12,4.625175,0.715,0.8097902,0.8299632
2,8,4,14,4.9310346,0.725,0.7489655,0.85645604
2,8,4,16,5.24581,0.716,0.77374303,0.8742284
2,8,4,18,5.7289853,0.69,0.6985507,0.8792067
2,8,4,20,6.1042857,0.7,0.69714284,0.928066
2,8,4,22,6.234133,0.709,0.6882934,0.9174208
2,8,4,24,6.4756446,0.698,0.66332376,0.93244684
2,8,4,26,7.0455194,0.703,0.655761,0.93698347
2,8,4,28,6.7835197,0.716,0.66201115,0.9540289
2,8,4,30,6.8751736,0.721,0.6407767,0.9527027
2,8,4,32,7.1989026,0.729,0.61454046,0.9621886
2,8,4,34,7.154362,0.745,0.6281879,0.95577615
2,8,4,36,7.4174623,0.733,0.62346524,0.9655797
2,8,4,38,7.887838,0.74,0.6243243,0.96447843
2,8,4,40,8.017858,0.728,0.5879121,0.9716667
2,8,4,42,7.4487677,0.771,0.58106357,0.97020125
2,8,4,44,7.6070957,0.761,0.5913272,0.9782958
2,8,4,46,8.64054,0.74,0.577027,0.97883385
2,8,4,48,8.454912,0.743,0.5612382,0.982362
2,8,4,50,8.406291,0.763,0.53866315,0.9765625
2,8,4,52,9.496671,0.751,0.5659121,0.9865798
2,8,4,54,9.098684,0.76,0.5513158,0.9816716
2,8,4,56,9.846884,0.738,0.5704607,0.98777604
2,8,4,58,9.658245,0.752,0.50664896,0.9865229
2,8,4,60,9.868421,0.76,0.51184213,0.98551214
2,8,4,62,10.3964815,0.739,0.47902572,0.98733765
2,8,4,64,10.003937,0.762,0.4711286,0.99069476
2,10,4,2,3.0665681,0.676,0.9571006,0.34051725
2,10,4,4,3.0743072,0.794,0.92821157,0.52412283
2,10,4,6,3.3267717,0.762,0.8582677,0.5925926
2,10,4,8,3.8489795,0.735,0.87482995,0.7092391
2,10,4,10,4.2767477,0.701,0.83737516,0.7785088
2,10,4,12,4.8600583,0.686,0.787172,0.8125
2,10,4,14,4.8515406,0.714,0.79831934,0.8498264
2,10,4,16,5.5149255,0.67,0.7656717,0.8710191
2,10,4,18,5.6405134,0.701,0.7574893,0.88529414
2,10,4,20,5.739628,0.699,0.7711016,0.89921874
2,10,4,22,6.218884,0.699,0.76537913,0.9253049
2,10,4,24,6.117647,0.731,0.7004104,0.9349315
2,10,4,26,6.2211266,0.71,0.7084507,0.9468599
2,10,4,28,6.465847,0.732,0.6967213,0.9498874
2,10,4,30,6.622069,0.725,0.66206896,0.9418367
2,10,4,32,7.226124,0.712,0.6348315,0.9600962
2,10,4,34,7.3671765,0.719,0.6536857,0.96184736
2,10,4,36,7.0761013,0.749,0.63818425,0.9607934
2,10,4,38,7.716981,0.742,0.6455526,0.9662548
2,10,4,40,7.252252,0.777,0.6344916,0.9665493
2,10,4,42,7.632546,0.762,0.61548555,0.97269624
2,10,4,44,7.030265,0.793,0.592686,0.97329724
