AGENTS,ACTIONS,VALUES,ARGUMENTS,Social AVERAGE LENGTH,Social SUCCESS,Social COVINCE,Social RANK
2,2,2,2,3.9927273,0.55,0.7581818,0.59774435
2,2,2,4,5.0523257,0.516,0.65697676,0.81497175
2,2,2,6,6.643956,0.455,0.5472528,0.8604369
2,2,2,8,8.169856,0.418,0.52403843,0.9125
2,4,2,2,3.403537,0.622,0.8954984,0.61153847
2,4,2,4,3.6244543,0.687,0.81077147,0.775
2,4,2,6,3.7733517,0.728,0.760989,0.86494255
2,4,2,8,4.098453,0.711,0.70604783,0.8648325
2,4,2,10,4.5804596,0.696,0.6508621,0.9053498
2,4,2,12,5.0323052,0.681,0.6372981,0.9271255
2,4,2,14,5.843895,0.647,0.62074304,0.9410569
2,4,2,16,6.3555193,0.616,0.5609756,0.9566421
2,6,2,2,3.217929,0.647,0.9289026,0.66847825
2,6,2,4,3.1789882,0.771,0.8805195,0.75537634
2,6,2,6,3.2443326,0.794,0.8037736,0.84193546
2,6,2,8,3.6692607,0.771,0.7846952,0.85090363
2,6,2,10,3.8385878,0.793,0.7373737,0.89593303
2,6,2,12,4.070513,0.78,0.70678616,0.9155702
2,6,2,14,4.455979,0.761,0.69382393,0.92918456
2,6,2,16,4.6054688,0.768,0.66015625,0.9425287
2,6,2,18,5.1740294,0.747,0.64161074,0.9451673
2,6,2,20,4.7001286,0.777,0.65077317,0.9586397
2,6,2,22,5.251344,0.744,0.59543014,0.9692691
2,6,2,24,6.303324,0.722,0.57596684,0.95983607
2,8,2,2,3.025825,0.697,0.96700144,0.6413044
2,8,2,4,3.071887,0.779,0.90115535,0.77922076
2,8,2,6,3.1343284,0.804,0.87810946,0.8341837
2,8,2,8,3.2851942,0.824,0.8157576,0.8625828
2,8,2,10,3.5769696,0.825,0.7915152,0.8822674
2,8,2,12,3.7048192,0.83,0.7617329,0.9137056
2,8,2,14,3.9232643,0.821,0.743309,0.9154762
2,8,2,16,4.09768,0.819,0.71393645,0.9351064
2,8,2,18,4.150121,0.826,0.68159807,0.9486692
2,8,2,20,4.120283,0.848,0.674144,0.95126355
2,8,2,22,4.3285885,0.843,0.62989324,0.9703526
2,8,2,24,4.2897525,0.849,0.6568396,0.9648973
2,8,2,26,4.9030676,0.815,0.6081081,0.97265625
2,8,2,28,5.262195,0.82,0.5982906,0.9795455
2,8,2,30,5.3759212,0.814,0.6403941,0.98214287
2,8,2,32,5.381418,0.818,0.6009792,0.9785933
2,10,2,2,3.042522,0.682,0.95894426,0.625
2,10,2,4,3.0025094,0.797,0.9196989,0.76953125
2,10,2,6,3.1444445,0.81,0.8728395,0.8106796
2,10,2,8,3.3780787,0.812,0.85714287,0.85991377
2,10,2,10,3.353717,0.834,0.79856116,0.8854167
2,10,2,12,3.6573513,0.823,0.7815534,0.924581
2,10,2,14,3.8216867,0.83,0.7490953,0.92464113
2,10,2,16,3.7339556,0.857,0.7467911,0.9297235
2,10,2,18,3.9847596,0.853,0.7104338,0.94331986
2,10,2,20,4.0898347,0.846,0.7092199,0.9461382
2,10,2,22,4.0612483,0.849,0.68352944,0.9617537
2,10,2,24,4.0115476,0.866,0.6901734,0.9591078
2,10,2,26,4.2946634,0.862,0.68677497,0.97962964
2,10,2,28,4.595349,0.86,0.65156794,0.97408026
2,10,2,30,4.7668996,0.858,0.66239816,0.96972317
2,10,2,32,4.9483566,0.852,0.6686252,0.98056537
2,10,2,34,4.9443803,0.863,0.6248548,0.97846156
2,10,2,36,5.189189,0.851,0.59294116,0.9841499
2,10,2,38,5.207944,0.856,0.62177986,0.98538464
2,10,2,40,5.1995277,0.847,0.5840188,0.98785716
