VALUES,ACTIONS,ARGUMENTS,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DS0,DS1,DS2,DS3,DSCORE,CS0,CS1,CS2,CS3,CSCORE
2,2,2,224.0,0.552,0.112,0.0,0.06,0.492,0.552,444.0,0.0,0.0,0.112,0.112
2,2,4,214.0,0.572,0.204,0.006,0.09,0.476,0.572,398.0,0.002,0.03,0.172,0.204
2,2,6,262.0,0.476,0.192,0.01,0.11,0.356,0.476,404.0,0.006,0.054,0.132,0.192
2,2,8,314.0,0.372,0.184,0.01,0.098,0.264,0.372,408.0,0.004,0.044,0.136,0.184
2,4,2,198.0,0.604,0.064,0.0,0.026,0.578,0.604,468.0,0.0,0.0,0.064,0.064
2,4,4,138.0,0.724,0.136,0.0,0.092,0.632,0.724,432.0,0.0,0.008,0.128,0.136
2,4,6,144.0,0.712,0.154,0.008,0.14,0.564,0.712,423.0,0.0,0.024,0.13,0.154
2,4,8,149.0,0.702,0.238,0.002,0.136,0.564,0.702,381.0,0.002,0.036,0.2,0.238
2,4,10,181.0,0.638,0.244,0.008,0.14,0.49,0.638,378.0,0.0,0.054,0.19,0.244
2,4,12,157.0,0.686,0.292,0.036,0.174,0.476,0.686,354.0,0.016,0.08,0.196,0.292
2,4,14,181.0,0.638,0.262,0.046,0.128,0.464,0.638,369.0,0.02,0.044,0.198,0.262
2,4,16,186.0,0.628,0.294,0.03,0.148,0.45,0.628,353.0,0.014,0.068,0.212,0.294
2,6,2,173.0,0.654,0.044,0.0,0.04,0.614,0.654,478.0,0.0,0.0,0.044,0.044
2,6,4,133.0,0.734,0.098,0.0,0.114,0.62,0.734,451.0,0.0,0.006,0.092,0.098
2,6,6,80.0,0.84,0.184,0.004,0.19,0.646,0.84,408.0,0.0,0.038,0.146,0.184
2,6,8,102.0,0.796,0.202,0.006,0.168,0.622,0.796,399.0,0.0,0.026,0.176,0.202
2,6,10,88.0,0.824,0.232,0.014,0.19,0.62,0.824,384.0,0.002,0.042,0.188,0.232
2,6,12,97.0,0.806,0.264,0.022,0.184,0.6,0.806,368.0,0.004,0.04,0.22,0.264
2,6,14,107.0,0.786,0.32,0.02,0.176,0.59,0.786,340.0,0.012,0.062,0.246,0.32
2,6,16,104.0,0.792,0.306,0.02,0.174,0.598,0.792,347.0,0.012,0.06,0.234,0.306
2,6,18,118.0,0.764,0.324,0.036,0.196,0.532,0.764,338.0,0.016,0.092,0.216,0.324
2,6,20,118.0,0.764,0.316,0.026,0.18,0.558,0.764,342.0,0.016,0.068,0.232,0.316
2,6,22,137.0,0.726,0.302,0.026,0.198,0.502,0.726,349.0,0.014,0.088,0.2,0.302
2,6,24,129.0,0.742,0.396,0.032,0.18,0.53,0.742,302.0,0.03,0.108,0.258,0.396
2,8,2,163.0,0.674,0.03,0.0,0.032,0.642,0.674,485.0,0.0,0.0,0.03,0.03
2,8,4,89.0,0.822,0.08,0.0,0.144,0.678,0.822,460.0,0.0,0.006,0.074,0.08
2,8,6,97.0,0.806,0.128,0.0,0.128,0.678,0.806,436.0,0.0,0.01,0.118,0.128
2,8,8,90.0,0.82,0.192,0.006,0.164,0.65,0.82,404.0,0.0,0.022,0.17,0.192
2,8,10,76.0,0.848,0.214,0.004,0.196,0.648,0.848,393.0,0.0,0.036,0.178,0.214
2,8,12,90.0,0.82,0.194,0.012,0.184,0.624,0.82,403.0,0.0,0.034,0.16,0.194
2,8,14,89.0,0.822,0.246,0.012,0.174,0.636,0.822,377.0,0.0,0.068,0.178,0.246
2,8,16,80.0,0.84,0.32,0.014,0.18,0.646,0.84,340.0,0.006,0.052,0.262,0.32
2,8,18,86.0,0.828,0.326,0.002,0.194,0.632,0.828,337.0,0.0,0.084,0.242,0.326
2,8,20,85.0,0.83,0.356,0.012,0.192,0.626,0.83,322.0,0.006,0.074,0.276,0.356
2,8,22,77.0,0.846,0.376,0.026,0.188,0.632,0.846,312.0,0.014,0.09,0.272,0.376
2,8,24,100.0,0.8,0.376,0.024,0.22,0.556,0.8,312.0,0.014,0.126,0.236,0.376
2,8,26,81.0,0.838,0.394,0.036,0.196,0.606,0.838,303.0,0.02,0.094,0.28,0.394
2,8,28,84.0,0.832,0.398,0.016,0.198,0.618,0.832,301.0,0.014,0.094,0.29,0.398
2,8,30,91.0,0.818,0.45,0.048,0.22,0.55,0.818,275.0,0.044,0.132,0.274,0.45
2,8,32,104.0,0.792,0.376,0.048,0.192,0.552,0.792,312.0,0.038,0.11,0.228,0.376
2,10,2,167.0,0.666,0.018,0.0,0.042,0.624,0.666,491.0,0.0,0.0,0.018,0.018
2,10,4,100.0,0.8,0.072,0.002,0.124,0.674,0.8,464.0,0.0,0.006,0.066,0.072
2,10,6,106.0,0.788,0.126,0.0,0.148,0.64,0.788,437.0,0.0,0.004,0.122,0.126
2,10,8,89.0,0.822,0.162,0.004,0.168,0.65,0.822,419.0,0.002,0.014,0.146,0.162
2,10,10,77.0,0.846,0.178,0.006,0.182,0.658,0.846,411.0,0.002,0.02,0.156,0.178
2,10,12,77.0,0.846,0.226,0.008,0.164,0.674,0.846,387.0,0.0,0.032,0.194,0.226
2,10,14,71.0,0.858,0.22,0.012,0.168,0.678,0.858,390.0,0.002,0.028,0.19,0.22
2,10,16,79.0,0.842,0.258,0.004,0.164,0.674,0.842,371.0,0.004,0.044,0.21,0.258
2,10,18,81.0,0.838,0.322,0.012,0.152,0.674,0.838,339.0,0.004,0.052,0.266,0.322
2,10,20,63.0,0.874,0.35,0.008,0.184,0.682,0.874,325.0,0.006,0.076,0.268,0.35
2,10,22,76.0,0.848,0.334,0.018,0.184,0.646,0.848,333.0,0.008,0.068,0.258,0.334
2,10,24,85.0,0.83,0.368,0.014,0.206,0.61,0.83,316.0,0.002,0.082,0.284,0.368
2,10,26,81.0,0.838,0.338,0.016,0.198,0.624,0.838,331.0,0.024,0.068,0.246,0.338
2,10,28,69.0,0.862,0.418,0.016,0.192,0.654,0.862,291.0,0.006,0.088,0.324,0.418
2,10,30,64.0,0.872,0.426,0.028,0.204,0.64,0.872,287.0,0.016,0.102,0.308,0.426
2,10,32,52.0,0.896,0.452,0.028,0.208,0.66,0.896,274.0,0.016,0.114,0.322,0.452
2,10,34,69.0,0.862,0.444,0.022,0.226,0.614,0.862,278.0,0.02,0.122,0.302,0.444
2,10,36,63.0,0.874,0.482,0.042,0.208,0.624,0.874,259.0,0.022,0.13,0.33,0.482
2,10,38,65.0,0.87,0.444,0.048,0.204,0.618,0.87,278.0,0.04,0.126,0.278,0.444
