VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
2,2,2,2.174,0.539,0.126,1.119,0.378
2,2,4,2.643,0.54,0.166,1.202,0.498
2,2,6,2.908,0.498,0.219,1.166,0.657
2,2,8,3.527,0.403,0.194,0.989,0.582
2,4,2,2.134,0.621,0.047,1.147,0.141
2,4,4,2.496,0.737,0.139,1.495,0.417
2,4,6,2.749,0.721,0.186,1.485,0.558
2,4,8,3.034,0.736,0.225,1.584,0.675
2,4,10,3.247,0.711,0.245,1.533,0.735
2,4,12,3.553,0.669,0.247,1.485,0.741
2,4,14,3.874,0.658,0.277,1.502,0.831
2,4,16,4.326,0.625,0.275,1.497,0.825
2,6,2,2.082,0.645,0.04,1.169,0.12
2,6,4,2.449,0.784,0.122,1.482,0.366
2,6,6,2.708,0.776,0.145,1.506,0.435
2,6,8,2.928,0.792,0.184,1.55,0.552
2,6,10,3.105,0.787,0.22,1.615,0.66
2,6,12,3.34,0.79,0.265,1.658,0.795
2,6,14,3.579,0.778,0.272,1.67,0.816
2,6,16,3.808,0.771,0.303,1.705,0.909
2,6,18,3.915,0.759,0.314,1.709,0.942
2,6,20,4.168,0.758,0.314,1.708,0.942
2,6,22,4.332,0.749,0.344,1.703,1.032
2,6,24,4.482,0.744,0.365,1.756,1.095
2,8,2,2.103,0.683,0.039,1.279,0.117
2,8,4,2.411,0.806,0.086,1.422,0.258
2,8,6,2.651,0.81,0.126,1.49,0.378
2,8,8,2.894,0.817,0.182,1.561,0.546
2,8,10,3.023,0.8,0.19,1.504,0.57
2,8,12,3.212,0.821,0.243,1.625,0.729
2,8,14,3.372,0.833,0.266,1.679,0.798
2,8,16,3.418,0.848,0.313,1.752,0.939
2,8,18,3.752,0.821,0.318,1.855,0.954
2,8,20,3.777,0.833,0.316,1.799,0.948
2,8,22,3.885,0.854,0.378,1.886,1.134
2,8,24,4.106,0.845,0.372,1.863,1.116
2,8,26,4.257,0.82,0.391,1.82,1.173
2,8,28,4.564,0.811,0.409,1.877,1.227
2,8,30,4.395,0.833,0.392,1.899,1.176
2,8,32,4.833,0.801,0.372,1.873,1.116
4,2,2,2.185,0.568,0.139,1.208,0.417
4,2,4,2.648,0.553,0.171,1.243,0.513
4,2,6,3.093,0.554,0.225,1.292,0.675
4,2,8,3.553,0.511,0.229,1.243,0.687
4,2,10,3.965,0.445,0.214,1.081,0.642
4,2,12,4.38,0.421,0.199,0.987,0.597
4,2,14,4.769,0.395,0.202,0.989,0.606
4,2,16,5.345,0.355,0.18,0.879,0.54
4,4,2,2.163,0.665,0.065,1.301,0.195
4,4,4,2.565,0.71,0.135,1.438,0.405
4,4,6,2.855,0.721,0.187,1.511,0.561
4,4,8,3.105,0.698,0.204,1.522,0.612
4,4,10,3.428,0.69,0.203,1.52,0.609
4,4,12,3.643,0.683,0.256,1.547,0.768
4,4,14,3.923,0.707,0.251,1.617,0.753
4,4,16,4.254,0.653,0.254,1.473,0.762
4,4,18,4.61,0.622,0.257,1.412,0.771
4,4,20,4.831,0.627,0.285,1.471,0.855
4,4,22,5.079,0.611,0.289,1.455,0.867
4,4,24,5.503,0.637,0.287,1.505,0.861
4,4,26,5.83,0.589,0.267,1.397,0.801
4,4,28,5.885,0.609,0.295,1.483,0.885
4,4,30,6.424,0.559,0.264,1.337,0.792
4,4,32,6.567,0.572,0.291,1.38,0.873
4,6,2,2.072,0.617,0.043,1.211,0.129
4,6,4,2.447,0.755,0.099,1.445,0.297
4,6,6,2.747,0.746,0.122,1.416,0.366
4,6,8,3.026,0.724,0.167,1.486,0.501
4,6,10,3.224,0.743,0.176,1.505,0.528
4,6,12,3.521,0.705,0.195,1.467,0.585
4,6,14,3.843,0.714,0.194,1.468,0.582
4,6,16,3.791,0.729,0.236,1.571,0.708
4,6,18,4.209,0.701,0.25,1.577,0.75
4,6,20,4.412,0.684,0.254,1.53,0.762
4,6,22,4.542,0.725,0.281,1.623,0.843
4,6,24,4.805,0.706,0.289,1.596,0.867
4,6,26,4.818,0.715,0.289,1.625,0.867
4,6,28,5.214,0.699,0.28,1.609,0.84
4,6,30,5.518,0.706,0.302,1.64,0.906
4,6,32,5.522,0.725,0.323,1.679,0.969
4,6,34,5.626,0.701,0.322,1.641,0.966
4,6,36,5.882,0.694,0.333,1.636,0.999
4,6,38,6.172,0.697,0.308,1.631,0.924
4,6,40,6.366,0.699,0.335,1.667,1.005
4,6,42,6.735,0.685,0.341,1.687,1.023
4,6,44,7.015,0.685,0.347,1.645,1.041
4,6,46,6.834,0.712,0.33,1.674,0.99
4,6,48,7.671,0.678,0.326,1.622,0.978
4,8,2,2.147,0.671,0.037,1.247,0.111
4,8,4,2.452,0.756,0.076,1.402,0.228
4,8,6,2.746,0.755,0.1,1.443,0.3
4,8,8,2.94,0.74,0.112,1.458,0.336
4,8,10,3.195,0.728,0.163,1.406,0.489
4,8,12,3.464,0.711,0.175,1.453,0.525
4,8,14,3.583,0.703,0.176,1.457,0.528
4,8,16,3.852,0.719,0.183,1.515,0.549
4,8,18,4.131,0.698,0.223,1.486,0.669
4,8,20,4.274,0.711,0.224,1.535,0.672
4,8,22,4.347,0.727,0.258,1.573,0.774
4,8,24,4.507,0.724,0.243,1.584,0.729
4,8,26,4.66,0.746,0.266,1.606,0.798
4,8,28,4.93,0.719,0.298,1.629,0.894
4,8,30,5.237,0.732,0.284,1.63,0.852
4,8,32,5.003,0.741,0.286,1.657,0.858
4,8,34,5.471,0.724,0.284,1.616,0.852
4,8,36,5.561,0.737,0.327,1.697,0.981
4,8,38,5.457,0.767,0.331,1.749,0.993
4,8,40,5.801,0.738,0.331,1.77,0.993
4,8,42,5.799,0.754,0.356,1.77,1.068
4,8,44,6.122,0.756,0.355,1.754,1.065
4,8,46,6.172,0.77,0.37,1.848,1.11
4,8,48,6.136,0.786,0.394,1.876,1.182
4,8,50,6.657,0.753,0.372,1.813,1.116
4,8,52,6.688,0.768,0.374,1.848,1.122
4,8,54,6.691,0.774,0.396,1.844,1.188
4,8,56,6.493,0.779,0.393,1.855,1.179
4,8,58,7.665,0.722,0.39,1.72,1.17
4,8,60,7.377,0.769,0.377,1.849,1.131
4,8,62,7.539,0.758,0.419,1.836,1.257
4,8,64,7.527,0.757,0.431,1.869,1.293
6,2,2,2.181,0.549,0.121,1.173,0.363
6,2,4,2.676,0.587,0.206,1.299,0.618
6,2,6,3.039,0.566,0.21,1.276,0.63
6,2,8,3.499,0.525,0.248,1.271,0.744
6,2,10,3.821,0.5,0.226,1.196,0.678
6,2,12,4.229,0.469,0.238,1.153,0.714
6,2,14,4.899,0.46,0.249,1.172,0.747
6,2,16,5.415,0.416,0.2,1.012,0.6
6,2,18,5.414,0.427,0.222,1.049,0.666
6,2,20,6.172,0.409,0.224,1.001,0.672
6,2,22,6.303,0.376,0.2,0.924,0.6
6,2,24,6.729,0.363,0.207,0.939,0.621
6,4,2,2.121,0.607,0.052,1.213,0.156
6,4,4,2.523,0.701,0.134,1.423,0.402
6,4,6,2.889,0.684,0.15,1.444,0.45
6,4,8,3.184,0.68,0.18,1.454,0.54
6,4,10,3.439,0.663,0.206,1.407,0.618
6,4,12,3.735,0.668,0.221,1.474,0.663
6,4,14,4.202,0.615,0.222,1.389,0.666
6,4,16,4.305,0.637,0.251,1.477,0.753
6,4,18,4.594,0.591,0.241,1.361,0.723
6,4,20,4.961,0.623,0.244,1.473,0.732
6,4,22,5.03,0.627,0.253,1.441,0.759
6,4,24,5.417,0.602,0.271,1.438,0.813
