VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
2,2,2,2,2.174,0.539,0.126,1.119,0.378
2,2,2,4,2.618,0.539,0.166,1.195,0.498
2,2,2,6,2.89,0.498,0.219,1.144,0.657
2,2,2,8,3.451,0.405,0.194,0.981,0.582
2,2,4,2,2.134,0.621,0.047,1.147,0.141
2,2,4,4,2.5,0.736,0.139,1.492,0.417
2,2,4,6,2.724,0.721,0.186,1.459,0.558
2,2,4,8,3.007,0.732,0.225,1.54,0.675
2,2,4,10,3.187,0.709,0.245,1.505,0.735
2,2,4,12,3.467,0.671,0.247,1.453,0.741
2,2,4,14,3.847,0.647,0.277,1.437,0.831
2,2,4,16,4.144,0.617,0.275,1.429,0.825
2,2,6,2,2.082,0.645,0.04,1.169,0.12
2,2,6,4,2.426,0.784,0.122,1.484,0.366
2,2,6,6,2.698,0.776,0.145,1.49,0.435
2,2,6,8,2.893,0.791,0.184,1.527,0.552
2,2,6,10,3.051,0.784,0.22,1.55,0.66
2,2,6,12,3.237,0.79,0.265,1.588,0.795
2,2,6,14,3.481,0.774,0.272,1.6,0.816
2,2,6,16,3.706,0.764,0.303,1.628,0.909
2,2,6,18,3.804,0.754,0.314,1.65,0.942
2,2,6,20,4.037,0.749,0.314,1.625,0.942
2,2,6,22,4.194,0.749,0.344,1.615,1.032
2,2,6,24,4.337,0.739,0.365,1.659,1.095
2,2,8,2,2.103,0.683,0.039,1.279,0.117
2,2,8,4,2.393,0.806,0.086,1.412,0.258
2,2,8,6,2.636,0.808,0.126,1.476,0.378
2,2,8,8,2.85,0.815,0.182,1.521,0.546
2,2,8,10,2.989,0.801,0.19,1.471,0.57
2,2,8,12,3.228,0.816,0.243,1.566,0.729
2,2,8,14,3.223,0.833,0.266,1.597,0.798
2,2,8,16,3.287,0.847,0.313,1.683,0.939
2,2,8,18,3.653,0.82,0.318,1.722,0.954
2,2,8,20,3.566,0.837,0.316,1.703,0.948
2,2,8,22,3.695,0.855,0.378,1.779,1.134
2,2,8,24,3.933,0.841,0.372,1.753,1.116
2,2,8,26,4.086,0.82,0.391,1.742,1.173
2,2,8,28,4.407,0.81,0.409,1.788,1.227
2,2,8,30,4.312,0.823,0.392,1.801,1.176
2,2,8,32,4.671,0.797,0.372,1.759,1.116
2,4,2,2,2.185,0.568,0.139,1.208,0.417
2,4,2,4,2.643,0.554,0.171,1.234,0.513
2,4,2,6,3.049,0.557,0.225,1.283,0.675
2,4,2,8,3.439,0.517,0.229,1.217,0.687
2,4,2,10,3.847,0.44,0.214,1.038,0.642
2,4,2,12,4.225,0.417,0.199,0.949,0.597
2,4,2,14,4.643,0.389,0.202,0.943,0.606
2,4,2,16,5.13,0.355,0.18,0.853,0.54
2,4,4,2,2.163,0.665,0.065,1.301,0.195
2,4,4,4,2.553,0.71,0.135,1.432,0.405
2,4,4,6,2.834,0.72,0.187,1.494,0.561
2,4,4,8,3.076,0.693,0.204,1.485,0.612
2,4,4,10,3.359,0.687,0.203,1.469,0.609
2,4,4,12,3.519,0.682,0.256,1.496,0.768
2,4,4,14,3.766,0.699,0.251,1.543,0.753
2,4,4,16,4.02,0.656,0.254,1.43,0.762
2,4,4,18,4.449,0.62,0.257,1.338,0.771
2,4,4,20,4.492,0.627,0.285,1.411,0.855
2,4,4,22,4.897,0.609,0.289,1.359,0.867
2,4,4,24,5.251,0.634,0.287,1.436,0.861
2,4,4,26,5.51,0.58,0.267,1.306,0.801
2,4,4,28,5.541,0.607,0.295,1.399,0.885
2,4,4,30,6.041,0.56,0.264,1.266,0.792
2,4,4,32,6.132,0.566,0.291,1.318,0.873
2,4,6,2,2.072,0.617,0.043,1.211,0.129
2,4,6,4,2.444,0.755,0.099,1.439,0.297
2,4,6,6,2.741,0.746,0.122,1.398,0.366
2,4,6,8,2.981,0.722,0.167,1.464,0.501
2,4,6,10,3.161,0.74,0.176,1.454,0.528
2,4,6,12,3.396,0.702,0.195,1.42,0.585
2,4,6,14,3.706,0.71,0.194,1.416,0.582
2,4,6,16,3.715,0.726,0.236,1.522,0.708
2,4,6,18,4.086,0.69,0.25,1.49,0.75
2,4,6,20,4.244,0.684,0.254,1.486,0.762
2,4,6,22,4.291,0.72,0.281,1.544,0.843
2,4,6,24,4.549,0.7,0.289,1.494,0.867
2,4,6,26,4.469,0.711,0.289,1.529,0.867
2,4,6,28,4.967,0.693,0.28,1.505,0.84
2,4,6,30,5.272,0.698,0.302,1.518,0.906
2,4,6,32,5.052,0.721,0.323,1.565,0.969
2,4,6,34,5.311,0.694,0.322,1.53,0.966
2,4,6,36,5.559,0.693,0.333,1.493,0.999
2,4,6,38,5.906,0.694,0.308,1.516,0.924
2,4,6,40,5.809,0.703,0.335,1.565,1.005
2,4,6,42,6.433,0.683,0.341,1.585,1.023
2,4,6,44,6.571,0.684,0.347,1.56,1.041
2,4,6,46,6.386,0.702,0.33,1.568,0.99
2,4,6,48,7.268,0.67,0.326,1.51,0.978
2,4,8,2,2.147,0.671,0.037,1.247,0.111
2,4,8,4,2.438,0.758,0.076,1.392,0.228
2,4,8,6,2.743,0.755,0.1,1.443,0.3
2,4,8,8,2.897,0.741,0.112,1.447,0.336
2,4,8,10,3.174,0.728,0.163,1.376,0.489
2,4,8,12,3.416,0.71,0.175,1.426,0.525
2,4,8,14,3.493,0.702,0.176,1.382,0.528
2,4,8,16,3.743,0.714,0.183,1.462,0.549
2,4,8,18,3.978,0.7,0.223,1.446,0.669
2,4,8,20,4.15,0.706,0.224,1.46,0.672
2,4,8,22,4.182,0.72,0.258,1.472,0.774
2,4,8,24,4.312,0.722,0.243,1.51,0.729
2,4,8,26,4.424,0.745,0.266,1.509,0.798
2,4,8,28,4.679,0.716,0.298,1.518,0.894
2,4,8,30,4.936,0.734,0.284,1.526,0.852
2,4,8,32,4.775,0.735,0.286,1.525,0.858
2,4,8,34,5.296,0.718,0.284,1.512,0.852
2,4,8,36,5.294,0.733,0.327,1.549,0.981
2,4,8,38,5.128,0.762,0.331,1.596,0.993
2,4,8,40,5.492,0.734,0.331,1.622,0.993
2,4,8,42,5.544,0.748,0.356,1.64,1.068
2,4,8,44,5.788,0.75,0.355,1.624,1.065
2,4,8,46,5.83,0.769,0.37,1.675,1.11
2,4,8,48,5.625,0.786,0.394,1.708,1.182
2,4,8,50,6.326,0.748,0.372,1.646,1.116
2,4,8,52,6.115,0.766,0.374,1.68,1.122
2,4,8,54,6.147,0.769,0.396,1.681,1.188
2,4,8,56,6.205,0.76,0.393,1.632,1.179
2,4,8,58,7.063,0.716,0.39,1.558,1.17
2,4,8,60,6.792,0.761,0.377,1.685,1.131
2,4,8,62,6.869,0.757,0.419,1.691,1.257
2,4,8,64,6.809,0.76,0.431,1.692,1.293
2,6,2,2,2.181,0.549,0.121,1.173,0.363
2,6,2,4,2.64,0.591,0.206,1.293,0.618
2,6,2,6,3.001,0.563,0.21,1.255,0.63
2,6,2,8,3.414,0.53,0.248,1.254,0.744
2,6,2,10,3.667,0.502,0.226,1.174,0.678
2,6,2,12,4.043,0.466,0.238,1.104,0.714
2,6,2,14,4.788,0.452,0.249,1.13,0.747
2,6,2,16,5.201,0.409,0.2,0.965,0.6
2,6,2,18,5.176,0.419,0.222,0.995,0.666
2,6,2,20,6.001,0.398,0.224,0.942,0.672
2,6,2,22,5.979,0.377,0.2,0.903,0.6
2,6,2,24,6.514,0.352,0.207,0.89,0.621
2,6,4,2,2.121,0.607,0.052,1.213,0.156
2,6,4,4,2.518,0.703,0.134,1.415,0.402
2,6,4,6,2.857,0.68,0.15,1.426,0.45
2,6,4,8,3.129,0.679,0.18,1.435,0.54
2,6,4,10,3.373,0.657,0.206,1.369,0.618
2,6,4,12,3.596,0.667,0.221,1.435,0.663
2,6,4,14,4.055,0.615,0.222,1.359,0.666
2,6,4,16,4.163,0.638,0.251,1.434,0.753
2,6,4,18,4.422,0.59,0.241,1.312,0.723
2,6,4,20,4.714,0.621,0.244,1.395,0.732
2,6,4,22,4.776,0.623,0.253,1.363,0.759
2,6,4,24,5.144,0.598,0.271,1.352,0.813
2,6,4,26,5.536,0.613,0.263,1.393,0.789
2,6,4,28,5.746,0.606,0.277,1.422,0.831
2,6,4,30,5.772,0.614,0.274,1.334,0.822
2,6,4,32,6.408,0.597,0.281,1.379,0.843
2,6,4,34,6.238,0.592,0.263,1.342,0.789
2,6,4,36,6.728,0.58,0.264,1.332,0.792
2,6,4,38,6.876,0.579,0.269,1.305,0.807
2,6,4,40,7.15,0.589,0.262,1.323,0.786
2,6,4,42,7.426,0.572,0.302,1.328,0.906
2,6,4,44,7.809,0.576,0.282,1.344,0.846
2,6,4,46,8.067,0.527,0.277,1.249,0.831
2,6,4,48,8.921,0.512,0.267,1.212,0.801
2,6,6,2,2.168,0.67,0.041,1.312,0.123
2,6,6,4,2.503,0.752,0.08,1.472,0.24
2,6,6,6,2.751,0.726,0.122,1.434,0.366
2,6,6,8,2.919,0.731,0.144,1.471,0.432
2,6,6,10,3.285,0.687,0.174,1.429,0.522
2,6,6,12,3.566,0.655,0.172,1.333,0.516
2,6,6,14,3.696,0.675,0.182,1.391,0.546
2,6,6,16,3.859,0.673,0.2,1.421,0.6
2,6,6,18,4.157,0.639,0.207,1.349,0.621
2,6,6,20,4.431,0.667,0.22,1.415,0.66
2,6,6,22,4.425,0.664,0.234,1.414,0.702
2,6,6,24,4.951,0.62,0.233,1.352,0.699
2,6,6,26,5.006,0.645,0.237,1.355,0.711
2,6,6,28,5.114,0.657,0.251,1.405,0.753
2,6,6,30,5.433,0.654,0.262,1.438,0.786
2,6,6,32,5.349,0.662,0.275,1.488,0.825
2,6,6,34,5.974,0.64,0.251,1.392,0.753
2,6,6,36,5.7,0.669,0.285,1.439,0.855
2,6,6,38,5.977,0.669,0.268,1.473,0.804
2,6,6,40,6.251,0.675,0.288,1.487,0.864
2,6,6,42,6.443,0.648,0.304,1.42,0.912
2,6,6,44,6.929,0.665,0.275,1.433,0.825
2,6,6,46,6.774,0.683,0.308,1.521,0.924
2,6,6,48,7.059,0.65,0.3,1.468,0.9
2,6,6,50,7.265,0.684,0.31,1.494,0.93
2,6,6,52,7.374,0.677,0.309,1.439,0.927
2,6,6,54,7.715,0.651,0.321,1.509,0.963
2,6,6,56,7.943,0.662,0.34,1.482,1.02
2,6,6,58,7.866,0.663,0.335,1.479,1.005
2,6,6,60,8.278,0.674,0.332,1.51,0.996
2,6,6,62,8.084,0.673,0.331,1.503,0.993
2,6,6,64,8.842,0.635,0.338,1.427,1.014
2,6,6,66,8.32,0.678,0.351,1.528,1.053
2,6,6,68,8.867,0.636,0.34,1.442,1.02
2,6,6,70,8.755,0.674,0.328,1.496,0.984
2,6,6,72,9.327,0.632,0.359,1.466,1.077
2,6,8,2,2.183,0.692,0.034,1.388,0.102
2,6,8,4,2.461,0.736,0.072,1.382,0.216
2,6,8,6,2.698,0.741,0.096,1.437,0.288
2,6,8,8,2.921,0.696,0.134,1.398,0.402
2,6,8,10,3.188,0.66,0.121,1.29,0.363
